acc x,acc y,acc z,gyro x,gyro y,gyro z,temp,humidity,timestamp
-0.536,-1.175,-0.230,48.828,-23.499,67.383,23,57,8362
-0.448,-0.990,1.969,-85.876,55.847,100.342,23,57,8377
0.146,-1.902,0.790,-32.959,40.466,120.850,23,57,8392
0.007,-1.374,1.056,15.564,51.697,115.723,23,57,8407
0.480,-1.305,0.286,36.438,168.152,95.215,23,57,8422
0.601,-1.267,-0.695,59.631,199.280,76.660,23,57,8437
0.177,-1.040,-0.392,43.701,161.194,80.200,23,57,8452
0.167,-0.983,-0.356,15.564,72.449,84.534,23,57,8467
-0.072,-1.038,-0.048,0.854,-43.152,98.083,23,57,8482
0.143,-1.024,0.302,-4.578,-82.520,100.464,23,57,8497
0.165,-1.071,0.390,-8.118,-73.669,91.980,23,57,8512
0.455,-1.096,0.348,10.559,-4.333,61.096,23,57,8527
0.369,-1.058,0.094,21.790,45.288,34.363,23,57,8542
0.271,-1.015,0.058,20.996,55.298,26.550,23,57,8557
0.100,-1.013,-0.041,17.090,52.063,19.165,23,57,8572
-0.068,-1.002,-0.119,9.094,6.165,25.452,23,57,8587
-0.027,-1.002,-0.014,5.920,-11.292,27.100,23,57,8602
0.077,-1.034,0.008,1.465,-23.804,26.855,23,57,8617
0.113,-1.031,0.141,2.808,-16.663,23.438,23,57,8632
0.110,-1.016,0.239,6.897,-9.033,20.447,23,57,8647
0.112,-1.020,0.186,13.672,11.536,13.550,23,57,8662
0.071,-1.001,-0.001,14.832,17.029,12.329,23,57,8677
-0.039,-0.993,-0.057,13.000,-0.549,17.517,23,57,8692
-0.028,-0.989,-0.043,10.193,-11.292,20.386,23,57,8707
0.017,-1.012,0.024,9.644,-18.433,23.621,23,57,8722
0.112,-1.024,0.070,9.644,-4.944,22.217,23,57,8737
0.081,-1.004,0.018,9.827,5.554,20.874,23,57,8752
0.025,-0.999,-0.014,9.216,8.850,22.156,23,57,8767
-0.006,-1.013,-0.031,8.057,2.136,27.344,23,57,8782
0.070,-1.010,0.007,8.118,2.258,28.748,23,57,8797
0.062,-1.020,0.041,8.789,6.226,30.640,23,57,8812
0.057,-1.031,0.030,9.338,9.644,33.875,23,57,8827
0.018,-1.021,-0.046,9.277,10.315,39.551,23,57,8842
-0.002,-1.048,-0.040,9.094,7.629,43.213,23,57,8857
-0.022,-1.056,-0.038,8.606,6.470,52.124,23,57,8872
-0.050,-1.038,-0.020,9.460,7.690,63.232,23,57,8887
-0.032,-1.029,0.000,10.132,10.254,69.458,23,57,8902
-0.025,-1.046,-0.012,12.390,16.296,81.543,23,57,8917
0.011,-1.132,-0.011,13.794,25.330,93.506,23,57,8933
0.068,-1.206,0.129,14.099,23.682,104.675,23,57,8947
0.119,-1.231,0.207,12.451,25.391,108.826,23,57,8962
0.143,-1.350,0.106,11.230,31.189,117.859,23,57,8978
-0.040,-1.576,0.016,13.794,24.048,131.104,23,57,8992
-0.097,-1.710,0.175,17.151,16.907,139.832,23,57,9007
-0.135,-1.815,0.283,21.362,6.104,161.255,23,57,9022
-0.342,-2.165,0.431,16.357,-17.273,187.866,23,57,9037
-1.069,-2.482,0.536,16.968,-38.391,217.041,23,57,9052
-0.724,-2.234,0.549,39.795,-81.787,208.191,23,57,9067
-0.657,-1.937,0.544,44.556,-129.639,202.698,23,57,9082
0.329,-1.401,0.096,32.776,-146.057,196.411,23,57,9097
0.683,-1.246,0.191,13.306,-149.658,193.604,23,57,9112
0.548,-1.220,0.126,-3.967,-114.807,155.396,23,57,9127
0.201,-0.859,0.061,2.808,-80.750,114.380,23,57,9142
0.423,-0.339,0.075,15.503,-75.256,89.905,23,57,9157
0.024,-0.341,0.292,16.602,-54.626,27.283,23,57,9172
-0.354,-0.445,0.112,64.331,-36.438,-42.419,23,57,9187
-0.101,-0.314,0.046,63.232,-43.091,-70.862,23,57,9202
0.142,-0.180,0.142,49.500,-41.199,-83.130,23,57,9217
0.071,-0.224,0.269,29.480,-33.752,-115.356,23,57,9233
0.000,-0.311,0.295,26.245,-23.560,-151.550,23,57,9247
0.002,-0.353,0.273,26.855,-17.334,-169.861,23,57,9262
0.066,-0.415,0.180,24.902,-6.714,-203.247,23,57,9278
0.053,-0.503,0.168,19.714,-8.484,-230.103,23,57,9292
0.011,-0.605,0.191,15.808,-13.245,-253.906,23,57,9307
-0.078,-0.833,0.246,5.371,-29.724,-262.756,23,57,9323
-0.005,-0.947,0.292,-11.414,-65.552,-270.142,23,57,9337
-0.076,-1.274,0.301,-3.784,-96.497,-286.194,23,57,9352
0.238,-1.528,0.397,-7.874,-102.539,-287.720,23,57,9367
0.856,-1.958,0.449,-8.728,-119.141,-289.551,23,57,9382
0.756,-2.056,0.529,6.714,-121.643,-316.040,23,57,9397
0.782,-2.055,0.471,5.188,-90.332,-322.998,23,57,9412
0.595,-1.993,0.301,10.681,-27.344,-323.730,23,57,9427
0.635,-1.864,0.023,11.597,-7.507,-300.659,23,57,9442
0.768,-1.698,0.007,5.249,-46.143,-241.211,23,57,9457
1.041,-1.364,0.020,3.235,-68.359,-210.388,23,57,9472
1.328,-1.116,0.017,12.756,-91.248,-151.794,23,57,9487
1.380,-0.944,0.003,21.423,-94.666,-116.821,23,57,9502
1.404,-0.779,0.258,20.142,-103.210,-24.536,23,57,9517
1.445,-0.852,0.406,-4.761,-77.026,58.594,23,57,9533
1.415,-0.946,0.404,-18.738,-7.812,110.718,23,57,9547
-1.703,-1.827,-0.048,-23.315,30.640,129.333,23,57,9562
-1.049,-1.225,0.118,21.118,133.118,80.078,23,57,9578
0.645,-0.352,1.802,54.932,-65.552,71.594,23,57,9592
-0.227,-2.031,0.810,-39.917,-54.993,89.783,23,57,9607
0.022,-1.422,0.754,-37.292,125.732,110.657,23,57,9622
0.395,-1.187,0.326,16.357,46.326,113.281,23,57,9637
0.352,-1.250,-0.134,-0.671,156.433,88.135,23,57,9652
0.463,-1.167,-0.511,50.171,192.078,74.829,23,57,9667
0.045,-1.113,-0.334,46.936,195.068,64.636,23,57,9682
-0.021,-1.066,-0.280,19.470,96.436,83.313,23,57,9697
0.075,-1.032,0.216,7.935,34.363,90.515,23,57,9712
0.101,-1.077,0.274,-13.062,-70.312,103.027,23,57,9727
0.408,-1.040,0.306,-11.047,-81.665,91.858,23,57,9742
0.388,-1.045,0.270,-4.517,-60.303,80.872,23,57,9757
0.262,-1.053,0.196,12.146,1.709,53.345,23,57,9772
0.185,-1.024,0.092,19.226,48.706,34.241,23,57,9788
0.140,-1.011,0.018,21.240,72.510,20.874,23,57,9802
-0.016,-1.011,-0.071,19.531,69.458,17.578,23,57,9817
-0.057,-1.017,-0.009,12.329,26.672,21.057,23,57,9832
-0.030,-1.013,0.015,2.808,-28.076,28.748,23,57,9847
0.051,-1.027,0.122,-1.526,-43.518,31.250,23,57,9862
0.122,-1.002,0.184,-2.197,-44.983,31.128,23,57,9877
0.150,-1.001,0.177,4.456,-13.916,23.682,23,57,9892
0.090,-1.003,0.117,8.179,2.563,19.897,23,57,9907
0.008,-1.001,-0.014,13.794,24.719,14.587,23,57,9922
-0.035,-1.002,-0.031,11.292,10.986,18.005,23,57,9937
0.021,-1.009,0.002,9.583,-11.414,23.804,23,57,9952
0.113,-1.021,0.102,6.897,-17.822,25.208,23,57,9967
0.115,-1.010,0.110,6.104,-11.230,24.048,23,57,9982
0.095,-1.005,0.081,9.521,2.136,20.996,23,57,9997
0.024,-1.017,0.027,9.277,4.211,21.545,23,57,10012
0.009,-1.033,0.006,9.216,2.930,24.353,23,57,10027
-0.014,-1.014,-0.008,7.996,1.465,28.198,23,57,10042
-0.051,-1.005,-0.015,8.362,2.014,29.846,23,57,10057
-0.093,-1.038,-0.046,7.568,4.639,37.842,23,57,10072
-0.132,-1.035,-0.003,5.554,8.789,49.805,23,57,10088
-0.137,-1.019,-0.006,4.272,10.620,65.002,23,57,10102
-0.035,-1.028,0.009,4.761,13.367,72.632,23,57,10117
0.026,-1.081,-0.013,5.127,24.780,85.999,23,57,10132
0.039,-1.140,-0.042,5.066,35.400,97.534,23,57,10147
0.072,-1.185,0.003,4.578,33.875,102.966,23,57,10162
0.147,-1.287,0.117,2.258,25.513,113.953,23,57,10177
0.159,-1.509,0.120,-1.587,22.888,121.643,23,57,10192
0.047,-1.604,0.253,-2.380,23.315,125.671,23,57,10207
0.011,-1.699,0.452,2.747,16.174,138.855,23,57,10222
-0.073,-1.979,0.527,7.751,7.385,155.273,23,57,10237
-0.429,-2.285,0.455,6.226,0.793,178.955,23,57,10252
-0.804,-2.463,0.490,-0.854,-10.864,194.214,23,56,10267
-0.907,-2.325,0.640,27.588,-38.940,207.886,23,57,10282
-0.846,-2.086,0.469,28.687,-82.642,212.646,23,57,10297
0.374,-1.519,-0.021,30.701,-111.145,205.933,23,57,10312
0.995,-1.334,-0.053,17.944,-135.254,203.735,23,57,10327
0.739,-1.222,0.077,-12.146,-91.797,186.462,23,57,10343
0.304,-0.887,-0.148,-17.212,-64.514,161.987,23,57,10357
-0.094,-0.501,0.091,-0.183,-39.734,113.220,23,57,10372
-0.393,-0.520,-0.010,18.494,-15.869,44.312,23,57,10387
-0.257,-0.326,-0.014,48.462,-19.836,0.916,23,57,10402
-0.031,-0.190,-0.030,51.880,-45.105,-33.630,23,57,10417
0.067,-0.177,0.046,32.043,-55.725,-60.364,23,57,10432
0.054,-0.188,0.101,26.062,-54.016,-108.826,23,57,10447
0.034,-0.227,0.205,29.541,-45.105,-116.028,23,57,10462
0.046,-0.275,0.216,31.677,-28.931,-151.672,23,57,10477
0.042,-0.307,0.195,27.710,-11.719,-184.937,23,57,10492
0.025,-0.364,0.158,27.039,-7.263,-200.928,23,57,10507
0.038,-0.448,0.178,25.391,-8.484,-229.858,23,57,10522
0.022,-0.645,0.184,15.808,-15.198,-254.333,23,57,10537
0.002,-0.790,0.243,9.766,-20.996,-263.733,23,57,10552
0.042,-0.840,0.326,-4.333,-44.983,-272.949,23,57,10567
-0.029,-1.184,0.206,-1.831,-65.002,-293.274,23,57,10582
0.046,-1.371,0.304,2.930,-69.885,-301.453,23,57,10598
0.750,-1.917,0.395,-7.690,-79.956,-301.575,23,57,10612
0.835,-2.056,0.433,3.479,-90.942,-316.223,23,57,10627
0.803,-2.139,0.421,7.141,-36.011,-336.487,23,57,10642
0.699,-2.106,0.231,8.728,-2.075,-338.867,23,57,10657
0.623,-2.000,-0.133,13.672,38.513,-320.496,23,57,10672
0.765,-1.840,-0.214,7.812,-10.315,-257.507,23,57,10687
1.062,-1.466,-0.148,20.142,-99.548,-151.367,23,57,10702
1.458,-1.275,-0.120,43.579,-126.221,-67.383,23,57,10717
1.516,-0.808,0.031,37.231,-131.470,29.907,23,57,10732
1.454,-0.774,0.260,10.132,-98.694,68.054,23,57,10747
1.504,-0.832,0.505,-5.554,-20.691,119.202,23,57,10762
-0.513,-1.314,0.567,-12.329,103.699,108.398,23,57,10777
-2.422,-1.764,-0.104,37.598,153.198,46.143,23,57,10792
-0.318,-0.998,0.443,47.302,-54.810,57.434,23,57,10807
0.036,-1.108,1.897,-113.586,192.261,97.229,23,57,10822
0.002,-2.038,0.671,5.432,156.372,107.117,23,57,10837
0.096,-1.325,1.163,24.963,83.008,107.910,23,57,10852
0.362,-1.353,0.264,32.776,201.233,89.233,23,57,10867
0.418,-1.123,-0.669,63.782,213.745,70.251,23,57,10882
0.226,-0.979,-0.745,49.622,179.138,70.435,23,57,10898
0.006,-1.016,-0.350,13.977,73.853,88.196,23,57,10912
0.153,-1.045,0.022,6.958,17.944,95.154,23,57,10927
0.075,-1.075,0.231,-11.597,-93.018,104.736,23,57,10943
0.088,-1.080,0.407,-18.188,-102.722,95.215,23,57,10957
0.457,-1.098,0.397,-8.667,-73.608,80.261,23,57,10972
0.449,-1.083,0.314,16.724,7.751,49.500,23,57,10987
0.307,-1.019,0.172,29.114,66.040,25.330,23,57,11002
0.128,-1.029,0.103,25.757,86.426,13.367,23,57,11017
0.040,-1.012,-0.109,22.522,81.848,11.047,23,57,11032
-0.057,-1.001,-0.145,12.390,31.738,16.846,23,57,11047
-0.084,-1.034,-0.095,1.831,-36.804,28.198,23,57,11062
-0.021,-1.010,0.078,-2.441,-56.580,31.128,23,57,11077
0.015,-1.010,0.133,-2.991,-59.143,30.762,23,57,11092
0.078,-1.009,0.215,3.967,-26.245,24.353,23,57,11107
0.101,-1.002,0.193,8.301,20.447,15.564,23,57,11122
0.083,-1.001,0.121,13.550,33.325,12.878,23,57,11137
-0.023,-1.001,0.015,13.306,21.729,16.235,23,57,11152
-0.082,-1.012,-0.012,10.010,-8.179,24.170,23,57,11167
0.025,-1.028,0.071,9.094,-19.104,26.794,23,57,11182
0.093,-1.024,0.118,9.277,-13.489,26.245,23,57,11197
0.134,-1.016,0.116,13.123,6.836,21.484,23,57,11212
0.058,-1.016,0.052,13.733,12.512,20.874,23,57,11227
0.000,-1.017,-0.007,11.902,7.874,23.560,23,57,11243
-0.046,-1.002,-0.117,6.165,-3.052,30.396,23,57,11257
-0.139,-0.985,-0.095,2.930,-9.827,41.870,23,57,11272
-0.189,-1.060,-0.015,2.869,-8.789,48.462,23,57,11288
-0.084,-1.034,0.014,3.662,4.028,60.059,23,57,11302
-0.093,-1.083,0.026,3.723,18.494,70.923,23,57,11317
-0.107,-1.065,0.030,3.906,19.409,77.332,23,57,11332
-0.035,-1.035,0.054,5.737,26.794,88.623,23,57,11347
0.024,-1.072,-0.005,7.385,38.208,98.999,23,57,11362
0.032,-1.150,-0.036,6.958,37.781,110.901,23,57,11377
0.083,-1.188,0.026,5.188,34.119,116.333,23,57,11392
0.175,-1.282,0.215,-0.122,33.936,123.474,23,57,11407
0.168,-1.442,0.045,-2.747,37.476,131.104,23,57,11422
0.069,-1.537,-0.074,-6.165,34.241,136.292,23,57,11437
-0.177,-1.699,0.109,12.451,7.812,152.344,23,57,11452
0.057,-1.804,0.641,4.517,-6.165,175.354,23,57,11467
-0.086,-2.043,0.660,-3.113,-13.794,187.744,23,57,11482
-0.922,-2.469,0.628,3.662,-26.428,204.651,23,57,11498
